FZ,SR,SA,V,FX,NFX,NFY
-1093.72,0.042,0.057,40.32,2520.89,-2.3,0.05
-1084.24,0.042,0.061,40.34,2550.99,-2.35,0.05
-1080.64,0.042,0.067,40.35,2560.1,-2.37,0.04
-1082.0,0.042,0.067,40.36,2539.73,-2.35,0.04
-1086.86,0.041,0.069,40.36,2499.62,-2.3,0.04
-1098.78,0.041,0.066,40.35,2444.34,-2.22,0.04
-1114.26,0.04,0.063,40.34,2386.04,-2.14,0.04
-1119.44,0.038,0.057,40.33,2330.21,-2.08,0.04
-1118.7,0.036,0.056,40.33,2285.13,-2.04,0.04
-1113.51,0.035,0.058,40.33,2263.36,-2.03,0.05
-1103.07,0.033,0.064,40.33,2276.75,-2.06,0.06
-1091.88,0.033,0.066,40.33,2312.61,-2.12,0.06
-1084.28,0.033,0.063,40.34,2348.53,-2.17,0.06
-1076.71,0.032,0.057,40.35,2362.49,-2.19,0.06
-1079.45,0.031,0.067,40.34,2337.12,-2.17,0.05
-1086.74,0.031,0.058,40.33,2276.41,-2.09,0.05
-1095.13,0.029,0.069,40.33,2201.33,-2.01,0.05
-1107.72,0.028,0.06,40.31,2121.35,-1.92,0.05
-1114.07,0.027,0.067,40.3,2052.31,-1.84,0.06
-1118.08,0.025,0.079,40.31,1998.41,-1.79,0.06
-1113.06,0.024,0.06,40.3,1971.06,-1.77,0.07
-1103.29,0.024,0.079,40.31,1973.95,-1.79,0.07
-1095.26,0.023,0.057,40.31,2005.03,-1.83,0.07
-1089.56,0.024,0.063,40.32,2045.34,-1.88,0.08
-1087.21,0.023,0.073,40.32,2064.65,-1.9,0.07
-1085.27,0.021,0.064,40.31,2047.21,-1.89,0.07
-1083.66,0.019,0.064,40.31,1991.27,-1.84,0.06
-1091.33,0.018,0.057,40.3,1910.28,-1.75,0.06
-1097.45,0.016,0.064,40.3,1823.28,-1.66,0.06
-1103.97,0.015,0.072,40.3,1742.66,-1.58,0.07
-1108.57,0.015,0.066,40.28,1681.04,-1.52,0.07
-1105.53,0.014,0.067,40.29,1639.01,-1.48,0.07
-1099.08,0.013,0.061,40.29,1620.36,-1.47,0.08
-1092.16,0.012,0.07,40.29,1623.36,-1.49,0.08
-1084.5,0.012,0.063,40.29,1642.46,-1.51,0.08
-1079.22,0.01,0.066,40.29,1656.28,-1.53,0.08
-1078.88,0.008,0.06,40.29,1645.49,-1.53,0.07
-1080.5,0.007,0.061,40.29,1598.72,-1.48,0.07
-1079.43,0.005,0.063,40.29,1530.19,-1.42,0.06
-1078.58,0.004,0.06,40.3,1457.44,-1.35,0.06
-1081.52,0.004,0.063,40.3,1396.47,-1.29,0.07
-1087.15,0.003,0.063,40.3,1352.24,-1.24,0.07
-1088.98,0.004,0.06,40.29,1323.4,-1.22,0.07
-1087.65,0.003,0.067,40.29,1310.41,-1.2,0.08
-1077.66,0.003,0.057,40.28,1304.16,-1.21,0.08
-1071.03,0.002,0.061,40.27,1307.09,-1.22,0.08
-1066.34,0.001,0.061,40.26,1317.43,-1.24,0.08
-1063.35,0.0,0.067,40.25,1323.58,-1.24,0.08
-1063.59,0.002,0.064,40.24,1304.95,-1.23,0.07
-1063.56,0.004,0.066,40.25,1256.41,-1.18,0.06
-1058.89,0.006,0.06,40.25,1189.44,-1.12,0.06
-1056.37,0.007,0.063,40.24,1122.6,-1.06,0.06
-1056.69,0.007,0.067,40.25,1068.65,-1.01,0.07
-1059.32,0.007,0.064,40.24,1026.07,-0.97,0.07
-1062.97,0.008,0.069,40.25,983.42,-0.93,0.08
-1062.22,0.01,0.069,40.25,929.91,-0.88,0.08
-1052.67,0.011,0.064,40.25,868.27,-0.82,0.08
-1040.48,0.013,0.061,40.24,813.59,-0.78,0.07
-1028.53,0.015,0.075,40.25,776.58,-0.76,0.07
-1019.59,0.016,0.057,40.26,760.42,-0.75,0.07
-1018.79,0.018,0.064,40.27,749.09,-0.74,0.07
-1019.79,0.018,0.063,40.28,736.43,-0.72,0.07
-1016.95,0.018,0.067,40.29,714.59,-0.7,0.07
-1014.71,0.019,0.058,40.29,682.52,-0.67,0.07
-1015.9,0.019,0.063,40.31,641.6,-0.63,0.07
-1022.58,0.019,0.06,40.31,583.36,-0.57,0.07
-1029.02,0.021,0.057,40.32,513.12,-0.5,0.07
-1027.49,0.023,0.063,40.32,421.85,-0.41,0.07
-1015.61,0.025,0.058,40.31,324.76,-0.32,0.07
-1002.99,0.026,0.072,40.3,242.67,-0.24,0.07
-995.38,0.028,0.066,40.3,208.71,-0.21,0.08
-992.9,0.027,0.061,40.28,227.87,-0.23,0.08
-992.05,0.027,0.06,40.27,279.63,-0.28,0.07
-993.75,0.028,0.057,40.26,317.24,-0.32,0.07
-999.64,0.028,0.063,40.25,317.33,-0.32,0.06
-1002.89,0.029,0.061,40.25,268.6,-0.27,0.07
-1003.7,0.03,0.06,40.23,184.74,-0.18,0.07
-1003.91,0.032,0.089,40.23,76.08,-0.08,0.07
-1005.79,0.034,0.064,40.22,-37.03,0.04,0.07
-1010.73,0.035,0.077,40.22,-145.42,0.14,0.07
-1007.18,0.036,0.069,40.19,-238.18,0.24,0.07
-998.78,0.037,0.064,40.17,-290.04,0.29,0.07
-991.48,0.037,0.064,40.16,-287.94,0.29,0.07
-994.66,0.037,0.058,40.14,-238.46,0.24,0.07
-1002.62,0.037,0.053,40.12,-182.85,0.18,0.07
-1004.77,0.038,0.054,40.11,-163.53,0.16,0.07
-1002.98,0.039,0.057,40.1,-197.79,0.2,0.06
-1002.6,0.041,0.079,40.09,-277.53,0.28,0.06
-1005.0,0.043,0.058,40.08,-371.95,0.37,0.06
-1006.72,0.043,0.06,40.06,-454.76,0.45,0.06
-1010.68,0.043,0.056,40.05,-511.96,0.51,0.06
-1019.16,0.043,0.066,40.03,-546.48,0.54,0.06
-1027.87,0.043,0.058,40.0,-561.4,0.55,0.06
-1028.85,0.044,0.066,40.0,-571.61,0.56,0.06
-1020.37,0.045,0.06,39.98,-581.49,0.57,0.07
-1012.0,0.045,0.064,39.97,-588.65,0.58,0.07
-1012.78,0.046,0.066,39.96,-600.2,0.59,0.07
-1019.82,0.047,0.061,39.96,-615.36,0.6,0.07
-1021.03,0.049,0.051,39.95,-648.17,0.63,0.06
-1019.41,0.05,0.061,39.97,-689.43,0.68,0.05
-1018.96,0.05,0.056,40.0,-735.49,0.72,0.05
-1024.28,0.051,0.061,40.03,-778.58,0.76,0.05
-1033.26,0.051,0.061,40.07,-824.38,0.8,0.05
-1037.21,0.053,0.06,40.09,-887.37,0.86,0.05
-1040.01,0.054,0.067,40.11,-964.76,0.93,0.05
-1044.23,0.057,0.061,40.14,-1056.68,1.01,0.05
